DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence
05/01/2020,Sunday,1:40 am,Traf(135)028,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,Beside Bethany Place,123.301987,9.3209,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
05/01/2020,Sunday,7:00 pm,202001-012,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,Purok 7,123.276375,9.312028,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,went wild ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
05/01/2020,Sunday,9:00 pm,202001-013,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Candau-ay,Purok 7,123.270683,9.312092,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,went wild on the said area and acted violently,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
05/01/2020,Sunday,10:25 pm,202001-015,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Mahigugmaon,123.290482,9.298592,NON-INDEX CRIME,,SPECIALLAWS,RA 10591 / 8294 (FIREARMS & EXPLOSIVES),Viol. of RA 10591 (Possession),,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 9mm,,,RECOVERED,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
05/01/2020,Sunday,10:25 pm,202001-015,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Mahigugmaon,123.290482,9.298592,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Piece of seized evidences were:
a)	One (1) pc Big Heat transparent plastic sachet containing suspected shabu granule;
b)	One (1) unit Caliber 9mm revolver Black Widow color chrome with wooden handle; and
c)	Five (5) pcs live ammunition of 9mm.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
06/01/2020,Monday,1:30 am,202001-016,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,Mr MS Restobar,123.309105,9.319519,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Attemptd/Frustd Homicide,Stabbing/Hacking - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Commercial-Business Establishments) - Bar/Disco
06/01/2020,Monday,8:45 pm,202001-033,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,Purok Fatima,123.294388,9.310249,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal, acted harassing the complainant and threatened him,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
06/01/2020,Monday,10:05 pm,202001-034,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Mangnao-Canal,Purok Paraiso,123.299789,9.293447,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
 1. One piece heat sealed transparent plastic sachet containing suspected shabu marked as JM-BB 1/6/20 with signature,. 
                      2. Two (2) pcs plastic pack (Large and Small) containing suspected shabu now marked as JM-P1 1/6/20 with signature and JM-P2 1/6/20 with signature; 
	 3. One (1) pc bond paper with writings now marked as JM-P3 1/6/20 with signature; (item no. 2 was placed inside);
	 4. One (1) unit cellular phone brand Samsung color black now marked as JM-P4 1/6/20 with signature;
	 5. Three (3) pcs Rolled Tin Foil now marked as JM-P5 1/6/20 with signature;
	 6. Two (2) pcs Disposable lighters now marked as JM-P6 1/6/20 with signature;
	 7. One (1) pc Improvised plastic scoop now marked as JM-P7 1/6/20 with signature;
	 8. One (1) pc Blade now marked as JM-P8 1/6/20 with signature;
	 9. One (1) pc rectangular plastic container now marked as JM-P9 1/6/20 with signature;
	10. One (1) pc Brown wallet now marked as JM-P10 1/6/20 with signature;
	11. One (1) pc Sling Bag FILA Brand now marked as JM-P11 1/6/20 with signature (items no ,2,3,4,5,6,7,8,9,10 was recovered);
	12. One (1) pc One Thousand Peso Bill Bearing SN QQ149155 (Buy-bust money);
	13. Six (6) pcs One hundred peso bills, Eight (8)pcs Twenty peso bills (Cash Proceeds) 

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
06/01/2020,Monday,10:05 pm,202001-034,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Mangnao-Canal,Purok Paraiso,123.299789,9.293447,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
 1. One piece heat sealed transparent plastic sachet containing suspected shabu marked as JM-BB 1/6/20 with signature,. 
                      2. Two (2) pcs plastic pack (Large and Small) containing suspected shabu now marked as JM-P1 1/6/20 with signature and JM-P2 1/6/20 with signature; 
	 3. One (1) pc bond paper with writings now marked as JM-P3 1/6/20 with signature; (item no. 2 was placed inside);
	 4. One (1) unit cellular phone brand Samsung color black now marked as JM-P4 1/6/20 with signature;
	 5. Three (3) pcs Rolled Tin Foil now marked as JM-P5 1/6/20 with signature;
	 6. Two (2) pcs Disposable lighters now marked as JM-P6 1/6/20 with signature;
	 7. One (1) pc Improvised plastic scoop now marked as JM-P7 1/6/20 with signature;
	 8. One (1) pc Blade now marked as JM-P8 1/6/20 with signature;
	 9. One (1) pc rectangular plastic container now marked as JM-P9 1/6/20 with signature;
	10. One (1) pc Brown wallet now marked as JM-P10 1/6/20 with signature;
	11. One (1) pc Sling Bag FILA Brand now marked as JM-P11 1/6/20 with signature (items no ,2,3,4,5,6,7,8,9,10 was recovered);
	12. One (1) pc One Thousand Peso Bill Bearing SN QQ149155 (Buy-bust money);
	13. Six (6) pcs One hundred peso bills, Eight (8)pcs Twenty peso bills (Cash Proceeds) 

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
07/01/2020,Tuesday,6:10 pm,202001-039,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,"Inside VTI, Ceres Terminal",123.305641,9.299625,NON-INDEX CRIME,,SPECIALLAWS,"MALICIOUS DISSEMINATION OF FALSE INFORMATION OF THE WILLFUL MAKING OF ANY THREAT CONCERNING BOMBS, EXPLOSIVES OR ANY SIMILAR DEVICE OR MEANS OF DESTRUCTION AND IMPOSING PENALTIES THEREFOR. - PD 1727",,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store
07/01/2020,Tuesday,9:00 pm,202001-040,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,,123.307457,9.29954,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal, created trouble and disturbance ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
08/01/2020,Wednesday,1:40 am,202001-045,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone II,123.311066,9.31476,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
Piece of seized evidences were:
a)	One (1) pc elongated heat sealed transparent plastic sachet containing suspected shabu granules/powder;and 
b)	Two (2) pcs Small elongated heat sealed transparent plastic sachet containing suspected shabu granules/powder.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys
07/01/2020,Tuesday,6:20 pm,Traf(135)033,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,"Aldceoa Drive, North National Highway",123.301773,9.316687,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
08/01/2020,Wednesday,8:50 am,Traf(135)035,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Corner Sta. Catalina and Colon St.,123.308571,9.30468,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
08/01/2020,Wednesday,5:30 pm,Traf(135)037,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Corner Perdices TS. And Epifanio Surban St.,123.307716,9.306438,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
08/01/2020,Wednesday,6:00 pm,Traf(135)038,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Corner Pinili St. and Real St.,123.305717,9.304109,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
08/01/2020,Wednesday,7:05 pm,Traf(135)039,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Fronting CITI Hardware,123.305115,9.299683,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
08/01/2020,Wednesday,8:15 pm,202001-050,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Mangnao-Canal,"Purok Mapailubon, Noreco Road",123.301956,9.296012,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Hitting with hard object,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
08/01/2020,Wednesday,8:15 pm,202001-050,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Mangnao-Canal,"Purok Mapailubon, Noreco Road",123.301956,9.296012,NON-INDEX CRIME,,OTHERNONINDEX,Other Non-Index,Threat Plain verbal,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
03/01/2020,Friday,12:00 pm,202001-054,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 8 (Barangay 8),"JCS Spareparts, Cervantes St.",123.305,9.303937,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store
09/01/2020,Thursday,10:30 am,202001-056,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Ma. Asuncion,123.295212,9.320429,INDEX CRIME,Crime Against Property,THEFT,Salisi,Salisi (Akyat Bahay),,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
09/01/2020,Thursday,10:30 am,202001-056,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Ma. Asuncion,123.295212,9.320429,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Piece of seized evidences were:
a)	One (1) pc I phone 7 plus color black with Jelly case cover color purple and clear;
b)	One (1) pc I phone XS color white with clear jelly case cover;
c)	One (1) pc black wallet containing assorted ID’s with brand name coach new york;
d)	One (1) pc sling bag with color combination black and white with brand name Kate Spade New York;
e)	One (1) pc shoulder bag with color combination black and white with brand name Kate Spade New York;  
f)	Two (2) pcs elongated heat sealed transparent plastic sachet containing suspected shabu granules/powder.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
09/01/2020,Thursday,9:40 pm,202001-059,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 8 (Barangay 8),"Staff House Jay Mktg., Cervantes St.",123.304947,9.305827,NON-INDEX CRIME,,OTHERNONINDEX,Unjust Vexation,retaliated and attacking the complainant and attempt to punched ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Office 
10/01/2020,Friday,3:30 am,202001-061,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Umbac Subdivision,123.307793,9.299114,NON-INDEX CRIME,,SPECIALLAWS,RA 10591 / 8294 (FIREARMS & EXPLOSIVES),Viol. of RA 10591 (Possession),,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 9mm,,,RECOVERED,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
10/01/2020,Friday,3:30 am,202001-061,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Umbac Subdivision,123.307793,9.299114,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu," Piece of seized evidences were: 1. One (1) pc Elongated Heatsealed transparent plastic sachet containing suspected shabu granule 2. Six (6) pcs Heatsealed transparent plastic sachet containing suspected shabu granule 3. Two (2) pcs Big Heat transparent plastic sachet containing suspected shabu granule; 4. One (1) unit Samsung Keypad; 5. One (1) Small bag color gray container containing items 2, 3 and 4; 6. One (1) pc One Thousand Peso Bill with serial number AT604840; 7. One (1) unit Kawasaki Fury Motorcycle color Blue with plate number 40266T with key. 8. One (1) unit Caliber 9mm revolver Slab Nose Revolver Black Widow & North America; and 9. Five (5) pcs live ammunition of 9mm. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
10/01/2020,Friday,3:30 am,202001-061,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Umbac Subdivision,123.307793,9.299114,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu," Piece of seized evidences were: 1. One (1) pc Elongated Heatsealed transparent plastic sachet containing suspected shabu granule 2. Six (6) pcs Heatsealed transparent plastic sachet containing suspected shabu granule 3. Two (2) pcs Big Heat transparent plastic sachet containing suspected shabu granule; 4. One (1) unit Samsung Keypad; 5. One (1) Small bag color gray container containing items 2, 3 and 4; 6. One (1) pc One Thousand Peso Bill with serial number AT604840; 7. One (1) unit Kawasaki Fury Motorcycle color Blue with plate number 40266T with key. 8. One (1) unit Caliber 9mm revolver Slab Nose Revolver Black Widow & North America; and 9. Five (5) pcs live ammunition of 9mm. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
09/01/2020,Thursday,11:45 am,Traf(135)040,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,Fronting NORSU Campus,123.302887,9.312431,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
09/01/2020,Thursday,6:20 pm,Traf(135)042,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Mangnao-Canal,National Highway,123.29821,9.292462,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
09/01/2020,Thursday,7:12 pm,Traf(135)043,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"Fronting East West Bank, Colon St.",123.307175,9.304659,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
10/01/2020,Friday,5:50 am,Traf(135)044,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Corner Perdices St. and San Jose St.,123.307625,9.308154,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
10/01/2020,Friday,1:45 pm,Traf(135)045,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Intersection frotning Brix,123.301811,9.31675,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
10/01/2020,Friday,7:30 pm,Traf(135)051,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Jose Romero Road corner Purok Fatima,123.292992,9.299704,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
11/01/2020,Saturday,9:45 am,202001-066,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Balugo,,123.290329,9.309678,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Piece of seized evidences were:
a)	Two (2) Heat transparent plastic sachet containing suspected shabu granule/powder; and
b)	One (1) Kawasaki Aura MC color blue bearing plate # 1267 MA.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
11/01/2020,Saturday,10:35 am,Traf(135)054,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Inside SUMCFI,123.304024,9.316538,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
12/01/2020,Sunday,3:40 am,Traf(135)056,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bantayan,"Near La Tienda Store, L Rovira Road",123.302437,9.326999,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
12/01/2020,Sunday,1:40 pm,202001-069,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cantil-e,Habitat,123.264771,9.285633,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"Recovered Evidences: 
1.	Two (2) pcsPlaying Cards; 
2.	Two (2) pcs Wooden Tables;
3.	Two (2) pcs plastic Chairs; and 
4.	Confiscated Bet money worth Php262.00 in different denomination

",Php 262.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,6,(Inside Residences) - Public Residential Area
13/01/2020,Monday,10:30 am,202001-073,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone IV,123.310684,9.31485,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Piece of seized evidences were:
a)	One (1) pc Elongated heat sealed transparent plastic sachet containing suspected shabu granule/powder; and
b)	Two (2) pcs small heat sealed transparent plastic sachets containing suspected shabu ganules/powder.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
13/01/2020,Monday,9:45 am,Traf(135)062,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Fronting Market Place,123.310806,9.299302,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
13/01/2020,Monday,4:40 pm,202001-078,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"JTJM Apartments, Sta. Monica Road",123.295921,9.278216,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Commercial-Business Establishments) - Office 
13/01/2020,Monday,11:47 pm,202001-080,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Purok Narra,123.271629,9.302372,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

Piece of seized evidences were:
a)	One (1) pc small elongated heat sealed transparent plastic sachet containing suspected shabu granule/powder buy-bust item; 
b)	Three (3) pcs elongated heat sealed transparent plastic sachets containing suspected shabu ganules/powder.
c)	One (1) pc disposable lighter color blue; and
d)	One (1) pc Five Hundred peso bill (500) with serial number LL658457 used as buy-bust money.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
