DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2022-01-10,Monday,0:06:00,202201-0045,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.307236,9.298296,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
1.	Confiscated pcs of evidence: 
2.	a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
3.	b.) Two (2) pcs elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu,
4.	with total estimated weight of 0.15 grams with  SDP value of Php 1,020 ; and
5.	c. )  One (1)  genuine Five hundred Peso bill (Php 500.00 ).
6.	d.) One (1)pouch color black.;
",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-10,Monday,20:55:00,202201-0053,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,Infront of Southview Hotel,123.295578,9.288878,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority,acted discourteous and arrogant ,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-01-15,Saturday,8:43:00,202201-0079,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.307678,9.299122,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color blue with plastic case cover; and
b.) Bet money amounting to Two Hundred Ninety Pesos (Php 290.00).
	
",Php 290.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-01-15,Saturday,9:40:00,202201-0082,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.310196,9.30035,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
b.) One (1) pc big heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu,
with total estimated weight of 35grams with SDP value of Php 238,000.00; and
c.)  One (1)  genuine Five hundred Peso bill (Php 500.00 ).
d.) one (1) pc empty plastic sachet.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-15,Saturday,9:40:00,202201-0082,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.310196,9.30035,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
b.) One (1) pc big heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu,
with total estimated weight of 35grams with SDP value of Php 238,000.00; and
c.)  One (1)  genuine Five hundred Peso bill (Php 500.00 ).
d.) one (1) pc empty plastic sachet.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-17,Monday,14:40:00,202201-0097,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Colonan,123.300545,9.318756,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece small heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as MPS-BB-01/17/2022 DARO DGTE CITY 2:40 PM with signature;

2.	One (1) piece large heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as MPS-P1-01/17/2022 DARO DGTE CITY 2:42 PM with signature;

3.	One (1) piece medium heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as P2-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature;


4.	Four (4) pieces elongated heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as P3-MPS-01/17/2022 DARO DGTE CITY 2:42 PM up to P6-MPS-01/17/2022 DARO DGTE CITY 2:42 PM all with signatures;

5.	One (1) piece black pouch marked as P7-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature; 

6.	One (1) dark green sling bag marked as P8-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature; and

7.	Five-Hundred-Peso Bill used as a Buy-Bust Money with CN: C562622.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-17,Monday,14:40:00,202201-0097,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Colonan,123.300545,9.318756,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
1.	One (1) piece small heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as MPS-BB-01/17/2022 DARO DGTE CITY 2:40 PM with signature;

2.	One (1) piece large heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as MPS-P1-01/17/2022 DARO DGTE CITY 2:42 PM with signature;

3.	One (1) piece medium heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as P2-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature;


4.	Four (4) pieces elongated heat-sealed transparent plastic sachet containing suspected shabu granules/powder marked as P3-MPS-01/17/2022 DARO DGTE CITY 2:42 PM up to P6-MPS-01/17/2022 DARO DGTE CITY 2:42 PM all with signatures;

5.	One (1) piece black pouch marked as P7-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature; 

6.	One (1) dark green sling bag marked as P8-MPS-01/17/2022 DARO DGTE CITY 2:42 PM with signature; and

7.	Five-Hundred-Peso Bill used as a Buy-Bust Money with CN: C562622.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-20,Thursday,17:30:00,Traf(137)005,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cantil-e,"Crossing Twin Hearts, Purok Mahinabangon",123.265091,9.281884,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-01-22,Saturday,0:52:00,202201-0124,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Malangsuba,123.297508,9.304892,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
	a) Five (5) pcs heat-sealed transparent plastic sachet containing suspected shabu granules weighing more/less 25 grams with Standard Drug Price of Php 170,000.00; and 
	b) one (1) pc One thousand peso bill along with several pieces bogus money used as  buy-bust money.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,0:52:00,202201-0124,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Malangsuba,123.297508,9.304892,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
	a) Five (5) pcs heat-sealed transparent plastic sachet containing suspected shabu granules weighing more/less 25 grams with Standard Drug Price of Php 170,000.00; and 
	b) one (1) pc One thousand peso bill along with several pieces bogus money used as  buy-bust money.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,3:17:00,202201-0125,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.31086,9.314855,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Pesos (Php 200.00).
	
",Php 200.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,4:30:00,202201-0126,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311134,9.314945,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Pesos (Php 200.00).
	
",Php 200.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,11:15:00,202201-0140,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.308449,9.300821,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Fifty Pesos (Php 250.00).
	
",Php 250.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,11:30:00,202201-0141,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.30809,9.300774,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Forty Pesos (Php 240.00).
	
",Php 240.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,12:08:00,202201-0144,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,"Purok Chicos, Zone IV",123.311844,9.316284,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"
	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red/blue with plastic case cover; and
                   b.) Bet money amounting to Two Hundred Pesos (Php 200.00).
	
",Php 200.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,16:06:00,202201-0147,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311844,9.316284,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
a) eight(8) pcs heat-sealed transparent plastic sachet in different size containing suspected shabu granules weighing more/less 5 grams with Standard Drug Price of Php 34,000.00; and 
b) one (1) pc fivehundredpeso bill used as buy-bust money.  

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,16:06:00,202201-0147,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311844,9.316284,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
a) eight(8) pcs heat-sealed transparent plastic sachet in different size containing suspected shabu granules weighing more/less 5 grams with Standard Drug Price of Php 34,000.00; and 
b) one (1) pc fivehundredpeso bill used as buy-bust money.  

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,19:32:00,202201-0150,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311928,9.316258,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
	a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
         b.) Three (3) PCs elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
with total estimated weight of 0.40 grams with SDP value of Php 2,720.00; and
         c.) One (1) genuine Five hundred Peso bill (Php 500.00).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-22,Saturday,19:32:00,202201-0150,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311928,9.316258,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
	a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
         b.) Three (3) PCs elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
with total estimated weight of 0.40 grams with SDP value of Php 2,720.00; and
         c.) One (1) genuine Five hundred Peso bill (Php 500.00).

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-01-28,Friday,17:30:00,202201-0186,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 1 (Barangay 1),Tinago Bridge,123.302856,9.309821,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority, ignored them and drove his driven motorcycle fast ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-01-29,Saturday,17:30:00,202201-0191,NEGROS_ORIENTAL,DUMAGUETE_CITY,,"Chow's Hardware, Perdices St.","Chow's Hardware, Perdices St.",123.30748,9.309808,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Malls,,
2022-01-30,Sunday,19:30:00,202201-0199,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Piapi,Fatima Village,123.306786,9.319042,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-12-27,Monday,15:00:00,202201-0008,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),,123.307419,9.307904,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Commercial-Business Establishments) - Malls,,
2021-11-21,Sunday,8:00:00,202201-0198,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Fatima Village,123.287956,9.298381,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Office ,,
2021-10-14,Thursday,14:30:00,202201-0117,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,,123.289902,9.309885,NON-INDEX CRIME,,OTHERNONINDEX,Slander,,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences) - Public Residential Area,,
2022-02-02,Wednesday,15:30:00,202202-0213,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,North Road,123.300873,9.318592,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2022-02-02,Wednesday,15:45:00,Traf(137)006,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,"Purok 6, Amihan",123.289505,9.30999,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2022-02-02,Wednesday,23:10:00,202202-0215,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bantayan,Rovira Road,123.294868,9.331334,NON-INDEX CRIME,,OTHERNONINDEX,Assault/Resistance to Authority, disobeyed and accelerates his motorcycle fleeing ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2022-02-03,Thursday,7:58:00,202202-0220,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311745,9.315575,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination blue and red; and
                   b.) Bet money amounting to Four Hundred Fifty Pesos (Php 450.00).
	
",Php 450.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2022-02-03,Thursday,9:09:00,202202-0222,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.309006,9.300218,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, color combination red and blue; and
                   b.) Bet money amounting to Two Hundred Twenty Pesos (Php 220.00).
	
",Php 220.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2022-02-04,Friday,19:35:00,202202-0233,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Orchids,123.309006,9.300287,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); 
b.) One (1) PC elongated heat-sealed transparent plastic sachet containing white crystalline substance believe to be shabu
c.) One (1) PC medium size self-sealing plastic sachet containing white crystalline substance believe to be shabu with total estimated weight 3 grams with SDP value of Php 20,400.00; and
d.) One (1) genuine Five hundred Peso bill (Php 500.00).
e.) 4 pcs empty elongated heat-sealed transparent plastic sachet.
f.) One (1) pouch color light brown


",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
