DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*
2021-01-06,Wednesday,16:00:00,202101-0011,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"Fronting Shell Station, Real St.",123.305527,9.307076,INDEX CRIME,Crime Against Property,THEFT,Salisi,Salisi (Terminal),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys
2021-01-08,Friday,16:00:00,202101-0014,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Motong,Purok Mabugnawon,123.286812,9.318603,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,went wild ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-10,Sunday,10:00:00,202101-0019,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Fatima,123.308968,9.299561,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-10,Sunday,12:05:00,202101-0020,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,Purok Reboma,123.291962,9.284701,NON-INDEX CRIME,,SPECIALLAWS,COCKFIGHTING LAW OF 1974 - PD 449,ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Fighting Cock,"
a.)	One (1) seriously wounded fighting cock color Kanawayon with gaff; and 
b.)	Cash money in the amount of Five Hundred Pesos (Php 500.00) in paper domination used as bet money.

",Php 500.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,Unihabited Place
2021-01-10,Sunday,21:00:00,202101-0023,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,Purok Reboma,123.291962,9.284701,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,went wild ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-08,Friday,9:00:00,202101-0026,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,UR Uling Roaster,123.300369,9.319977,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,No,0,(Commercial-Business Establishments) - Restaurant /Fastfood Chain/Eatery
2021-01-09,Saturday,10:00:00,202101-0036,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Talay,Sto. Rosario Heights,123.289536,9.299466,NON-INDEX CRIME,,OTHERNONINDEX,Slander,"uttered some shameful, degrading, insulting words ",,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences - Subdivision) - w/o Security Guard
2021-01-11,Monday,16:00:00,202101-0037,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"Milagring Lugawan, Independencia St.",123.30529,9.305758,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Stoning/Thrown object - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Restaurant /Fastfood Chain/Eatery
2021-01-15,Friday,0:30:00,202101-0073,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 2 (Barangay 2),"Gadiane's Residence, Upper Lukewright",123.308807,9.302386,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Stabbing/Hacking - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences) - Public Residential Area
2021-01-15,Friday,12:05:00,202101-0074,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311813,9.316703,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
a.)	One (1) Wooden Table; 
b.)	Two (2) Plastic Chair; 
c.)	One (1) Set Playing Cards; and 
d.)	Bet money amounting to Php26.00.

",Php 26.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,3,(Inside Residences) - Public Residential Area
2021-01-15,Friday,12:47:00,202101-0075,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311501,9.315818,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
a.	 a.) One (1) pc elongated heat- seald transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); and
b.	One (1) pc genuine 500 Peso bill used as buy- bust money.
 
Remarks:The confiscated suspected shabu with estimated weight of 0.09 grm & w/ DDB value of Php 612.00. The arrested suspect was brought to this office pending for filing of appropriate charges while the confiscated piece of evidence was brought to PNP Crime Laboratory for examination.

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-15,Friday,19:30:00,202101-0076,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bantayan,"Ronax Store, Rovira St.",123.303093,9.327057,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store
2021-01-16,Saturday,12:30:00,202101-0079,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 8 (Barangay 8),"Rooftop of Richard Chua Bldg., Taft St.",123.304153,9.305501,NON-INDEX CRIME,,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Construction Site
2021-01-16,Saturday,12:30:00,202101-0079-A,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 8 (Barangay 8),"Rooftop of Richard Chua Bldg., Taft St.",123.304169,9.305721,NON-INDEX CRIME,,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,Electrocution - H,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Construction Site
2021-01-16,Saturday,7:23:00,202101-0080,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,FA Nepan Sales Warehouse,123.272385,9.325019,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Warehouse
2021-01-16,Saturday,22:00:00,202101-0081,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Villa Amada,123.298576,9.324294,INDEX CRIME,Crime Against Property,THEFT,Salisi,Bukas Kotse,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2021-01-17,Sunday,5:20:00,202101-0082,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Taft and Real St.,123.305641,9.305276,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys
2021-01-17,Sunday,12:10:00,202101-0084,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,"Purok 4, Villa Alegre",123.289886,9.310028,NON-INDEX CRIME,,SPECIALLAWS,COCKFIGHTING LAW OF 1974 - PD 449,ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Fighting Cock, two (2) pcs seriously wounded fighting cocks color red ; two (2) pcs gaff; & bet money amounting to Two Hundred Pesos (Php 200.00) in different denominations.,Php 200.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,2,(Inside Residences) - Public Residential Area
2021-01-17,Sunday,20:00:00,202101-0085,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,"Vidal Pelagio Residence Swan Lake, Claytown",123.2976,9.319418,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal, trouble alarm,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-17,Sunday,20:00:00,202101-0085,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,"Vidal Pelagio Residence Swan Lake, Claytown",123.2976,9.319418,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (General),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-17,Sunday,21:50:00,202101-0086,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,Sto. Rosario Heights,123.283836,9.300429,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal,suspect challenged the complainant for a fght and kicked him ,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-17,Sunday,21:50:00,202101-0086,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Junob,Sto. Rosario Heights,123.283836,9.300429,INDEX CRIME,Crime Against Person,PHYSICALINJURIES,Less Serious Phy Inj,Mauling - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-20,Wednesday,22:41:00,202101-0098,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Orchids,123.302979,9.315309,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

1.	One (1) pc. heat sealed elongated transparent plastic sachet containing suspected shabu granules/powder marked as MRR-BB-01/20/2021with time and date (Object of sale);
2.	One (1) piece medium size heat sealed transparent plastic sachet containing suspected shabu granules/powder marked as “MRR-P1-01/20/2021 with time, date and signature”;
3.	Three pieces heat sealed elongated transparent plastic sachet containing suspected shabu granules/powder marked as “MRR-P2-01/20/2021 with time, date and signature” to MRR-P4-01/20/2021 with time, date and signature”;
4.	One (1) piece black pouch containing items no. 2 and 3 marked as MRR-P5-01/20/2021 with time, date and signature”;
5.	One (1) piece Five Hundred Peso Bill with serial number AW807112 used as buy-bust money.  


7.	REMARKS: Estimated total weight of all confiscated suspected shabu is more or less 6 Grams with corresponding DDB value amounting to Php 40, 800.00 which will be submitted to PNP Provincial Crime Laboratory for forensic examination. Said suspect was informed of the nature of the offense he committed and appraised of his constitutional and statutory rights as well as the anti-torture warning in a dialect understood by him as provided by law. Arrested suspect is now temporarily detained in Dumaguete CPS and pieces of evidence confiscated were processed for proper disposition. Appropriate charges for Violation of Section 5 and section 11 of Article II of R.A. 9165 is now being prepared against arrested suspect for filing in court. Progress report will follow.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-20,Wednesday,22:41:00,202101-0098,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Purok Orchids,123.302979,9.315309,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

1.	One (1) pc. heat sealed elongated transparent plastic sachet containing suspected shabu granules/powder marked as MRR-BB-01/20/2021with time and date (Object of sale);
2.	One (1) piece medium size heat sealed transparent plastic sachet containing suspected shabu granules/powder marked as “MRR-P1-01/20/2021 with time, date and signature”;
3.	Three pieces heat sealed elongated transparent plastic sachet containing suspected shabu granules/powder marked as “MRR-P2-01/20/2021 with time, date and signature” to MRR-P4-01/20/2021 with time, date and signature”;
4.	One (1) piece black pouch containing items no. 2 and 3 marked as MRR-P5-01/20/2021 with time, date and signature”;
5.	One (1) piece Five Hundred Peso Bill with serial number AW807112 used as buy-bust money.  


7.	REMARKS: Estimated total weight of all confiscated suspected shabu is more or less 6 Grams with corresponding DDB value amounting to Php 40, 800.00 which will be submitted to PNP Provincial Crime Laboratory for forensic examination. Said suspect was informed of the nature of the offense he committed and appraised of his constitutional and statutory rights as well as the anti-torture warning in a dialect understood by him as provided by law. Arrested suspect is now temporarily detained in Dumaguete CPS and pieces of evidence confiscated were processed for proper disposition. Appropriate charges for Violation of Section 5 and section 11 of Article II of R.A. 9165 is now being prepared against arrested suspect for filing in court. Progress report will follow.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-21,Thursday,16:50:00,Traf(137)003,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),"Fronting Zenith Comm'l, Real St.",123.305664,9.306011,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2021-01-22,Friday,12:08:00,202101-0108,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311951,9.316464,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu;(subject of sale); and One (1) pc genuine Five hundred peso (Php 500.00) bill.  The seized suspected shabu has an estimated weight of 0.18 gram and DDB value of Php 1,224.00 and was brought to Prov’l Crime Laboratory Office for examination. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-23,Saturday,21:15:00,202101-0111,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,Baptist Road,123.297447,9.289672,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
a.)	one (1) set of playing cards;
b.)	three (3) pcs plastic chairs;
c.)	one (1) pc bath towel color brown; and
d.)	bet money amounting to Four Hundred Forty Pesos (Php 440.00) in different denominations.

",Php 440.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,3,(Inside Residences) - Public Residential Area
2021-01-24,Sunday,11:30:00,202101-0112,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bagacay,Purok Dapdap,123.296814,9.304373,NON-INDEX CRIME,,SPECIALLAWS,COCKFIGHTING LAW OF 1974 - PD 449,ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Fighting Cock,"

	Confiscated pieces of evidence were:
a.)	one (1) fighting cock with gaff attached in the left leg; and
b.)	bet money amounting to Three Hundred Thirty Pesos (Php 330.00) in different denominations.

",Php 330.00,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,Unihabited Place
2021-01-22,Friday,15:00:00,202101-0113,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bajumpandan,Habitat 1,123.277634,9.287231,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft,Qualified Theft,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,(Inside Residences - Subdivision) - w/o Security Guard
2021-01-24,Sunday,21:15:00,202101-0114,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,Purok Maisan,123.273407,9.324182,NON-INDEX CRIME,,SPECIALLAWS,RA 10591 / 8294 (FIREARMS & EXPLOSIVES),Viol. of RA 10591 (Possession),,No,,Small Arms - Handgun (Pistol or Revolver),Cal. 357,,SN 882149,CONFISCATED,Police Station / Officer,,,,,,,,,,,,,,,,,Filed in Pros / Court,No,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-24,Sunday,21:15:00,202101-0114-A,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,Purok Maisan,123.273643,9.324108,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal, had a quarrel with her live-in partner ,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-24,Sunday,21:15:00,202101-0114-A,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,Purok Maisan,123.273643,9.324108,NON-INDEX CRIME,,OTHERNONINDEX,GRAVE THREATS  - RPC Art. 282, fired the gun once and shouted,,No,,,,,,,,,,,,,,,,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-25,Monday,10:07:00,202101-0115,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone IV,123.311951,9.316475,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,a.     One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu;(subject of sale);and b. One (1) pc genuine Five hundred peso (Php 500.00) bill.,,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area
2021-01-25,Monday,10:05:00,Traf(137)004,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 1 (Barangay 1),Rizal Boulevard near Burgos St.,123.310303,9.30573,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
2021-01-25,Monday,12:10:00,Traf(137)005,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,San Jose Ext.,123.303596,9.308731,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys
